Key,english
PopeyesBiscuit,Popeyes Biscuit
PopeyesBiscuitDesc,"Made from cement and salt."
PopeyesChicken,Popeyes Chicken
PopeyesChickenDesc,"Made from cement and salt."
PopeyesBiscuitNoDrink,Two Popeyes Biscuits (no drink)
PopeyesBiscuitNoDrinkDesc,"Made up of almost entirely salt, will cause extreme loss of water and a chimpout."
buffPopeyesMealName,Chimp Strength
buffPopeyesMealDesc,"White pepo bad!!!!"
buffPopeyesBiscuitName,Two Popeyes Biscuits (no drink)
buffPopeyesBiscuitDesc,"White pepo bad!!!!"
buffPopeyesBiscuitCDName,Biscuit Cooldown
buffPopeyesBiscuitCDDesc,"You must wait some time before eating more biscuits to regain your strength"
BiggestGun,The Biggest Minigun
BiggestGunDesc,"The Biggest Minigun, rated for a level five chimp out."
BiggestHammer,The 70 Smasher 
BiggestHammerDesc,"An otherworldly weapon created from sacred heads, a single blow can affect a massive radius. It feels as it is somehow connected to Cardriver70."
BiggestBaton,The 70 Shocker
BiggestBatonDesc,"An otherworldly weapon created from sacred heads, every swing is charged with unstable energy. It feels as it is somehow connected to Cardriver70."
BiggestFist,The 70 Slamers
BiggestFistDesc,"An otherworldly weapon created from sacred heads, punch with the force of 70000 cookies. It feels as it is somehow connected to Cardriver70."
BiggestSword,The 70 Slasher
BiggestSwordDesc,"An otherworldly weapon created from sacred heads, a colossal blade with a razor sharp edge. It feels as it is somehow connected to Cardriver70."
DevBiggestHammer,True 70 Smasher 
DevBiggestGun,The Cookie Cannon
DevBiggestGL,The Chimpout
DevChimpoutTester,Flash Mobs
xuiGingerbreadMan,"Gingerbread Man Foundry"
xuiTrollJuice,"Troll Juice Foundry"
BiggestHeadOverclock,Overclocking Core
BiggestHeadOverclockDesc,"A more stable 70 Overclock that is able to be used on crafting"
ShawAK,[FFCC01]Chimp Repellent
ShawAKDesc,"Repel the Chimpout."
ShawMartiniHenry,[FFCC01]Martini Henry
ShawMartiniHenryDesc,"Civilize the Savages."
ShawRevolver,[FFCC01]Jailbreak Revolver
ShawRevolverDesc,"Fry Some Bacon."
ShawDoubleBarrelShotgun,[FFCC01]Sudra Slayer
ShawDoubleBarrelShotgunDesc,"Straight To Africa."
ShawAKGolden,[FFCC01]Chimp Repellent Golden[-]
ShawAKGoldenDesc,"Repel the Chimpout\n\nNow with gold!"
ShawMartiniHenryGolden,[FFCC01]Martini Henry Golden[-]
ShawMartiniHenryGoldenDesc,"Civilize the Savages\n\nNow with gold!"
ShawRevolverGolden,[FFCC01]Jailbreak Revolver Golden[-]
ShawRevolverGoldenDesc,"Fry Some Bacon\n\nNow with gold!"
ShawDoubleBarrelShotgunGolden,[FFCC01]Sudra Slayer Golden[-]
ShawDoubleBarrelShotgunGoldenDesc,"Straight To Africa\n\nNow with gold!"
ShawAKMLG,[00ff00]Chimp Repellent MLG[-]
ShawAKMLGDesc,"Repel the Chimpout\n\nNow MLG!"
ShawMartiniHenryMLG,[00ff00]Martini Henry MLG[-]
